"INF06_01","INF06_02","INF06_03","INF24_01","INF24_02","INF24_03","INF48_01","INF48_02","INF48_03","CON06_01","CON06_02","CON06_03","CON24_01","CON24_02","CON24_03","CON48_01","CON48_02","CON48_03"
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,298,519,0,272,118,326,406,403,403,0,278,553,0,441,0
424,788,788,0,104,383,0,454,140,0,30,30,561,406,281,384,188,213
1090,1175,1175,1028,978,1060,996,936,984,1094,1154,1154,1101,1055,994,1138,990,1066
1127,1453,1453,1681,2317,1327,1627,1356,1103,793,1359,1359,2001,2156,1527,1166,2117,1478
633,259,259,1246,0,342,224,0,288,386,149,149,760,274,0,449,0,945
211,0,0,0,168,277,0,0,0,0,0,0,338,295,0,0,238,190
0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0
0,0,0,0,113,0,0,0,250,0,0,0,154,0,288,235,158,321
187,421,421,384,228,107,431,158,506,462,368,368,550,456,566,183,343,597
0,42,42,1277,0,0,0,0,0,0,48,48,28,0,0,1491,0,946
5,351,351,0,0,9,255,0,11,0,0,0,0,123,77,0,0,0
0,0,0,3264,3283,1060,0,0,4525,0,5283,5283,0,3574,3766,4374,5594,0
25,0,0,0,0,21,1398,0,0,0,0,0,45,102,131,178,0,35
0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
654,341,341,0,95,607,624,452,389,947,332,332,288,0,254,0,320,247
0,110,110,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0
0,0,0,0,0,117,0,0,83,0,0,0,0,65,0,0,0,0
928,983,983,1115,972,1098,867,950,867,598,574,574,956,1032,1206,763,894,1099
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,61,14,0,0,0,0,0,0,0,0,0,0
3027,2388,2388,2307,2296,2271,2384,2522,2668,1924,2115,2115,2369,2454,2209,1695,2286,2228
5729,7777,7777,25229,21072,20522,24984,23626,22834,8592,12574,12574,22380,20545,22423,16274,44717,29366
0,0,0,0,0,0,0,0,0,62,67,67,0,0,0,0,0,0
0,46,46,0,0,0,0,0,41,49,0,0,0,0,0,0,0,0
255,0,0,0,114,0,0,0,99,226,0,0,0,214,128,0,0,228
200,200,200,200,178,326,228,0,235,149,0,0,0,125,285,0,301,419
0,153,153,0,85,0,311,124,255,0,555,555,122,0,143,0,139,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
2,0,0,0,0,0,94,0,0,95,0,0,94,115,0,0,143,0
0,0,0,0,0,0,0,0,137,0,0,0,0,0,194,0,0,0
0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,22,0
1267,4116,4116,3037,2288,5757,3293,5206,3033,1037,1343,1343,4075,2237,4296,3948,4639,5361
0,343,343,490,394,235,0,316,0,262,0,0,49,28,161,0,425,0
0,0,0,52,26,0,0,91,61,55,0,0,0,24,27,48,30,0
1869,2326,2326,2371,2844,2621,2339,2920,2190,3118,2105,2105,2206,1630,2275,2710,2565,3119
4863,3217,3217,2993,2456,2109,4878,3069,2183,3846,3812,3812,1818,2042,7403,3748,3495,4583
2137,1728,1728,289,3866,3313,2573,2262,1712,1335,2633,2633,3799,3244,4307,4041,3174,3608
0,0,0,566,0,0,0,0,0,0,0,0,584,0,0,314,0,0
298,45,45,0,0,0,1817,3364,0,0,61,61,0,0,0,155,0,0
245,0,0,117,0,0,0,53,37,6,0,0,0,91,107,74,0,261
0,0,0,0,0,192,0,0,0,0,0,0,0,0,173,0,0,0
0,90,90,134,0,0,0,0,121,0,0,0,0,116,0,0,0,0
204,170,170,212,166,240,115,157,145,127,135,135,165,188,229,138,171,189
0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
325,0,0,0,0,0,1296,0,8,95,0,0,0,0,0,0,0,0
41,127,127,60,0,50,56,161,0,0,155,155,335,107,326,0,324,0
0,99,99,0,82,0,0,0,0,98,0,0,0,0,0,89,0,0
0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0
605,612,612,344,433,612,613,283,439,451,351,351,608,584,620,468,439,300
0,0,0,0,0,0,0,136,146,0,106,106,0,160,0,0,0,0
0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0
0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0
1484,1570,1570,1680,1403,1307,1666,1816,1690,1643,1460,1460,1526,1470,1510,950,1066,1496
63,0,0,0,0,0,0,1310,0,0,33,33,930,55,40,95,0,0
0,0,0,0,0,0,0,0,219,0,0,0,0,0,695,0,0,0
0,0,0,0,0,0,0,0,76,0,0,0,57,0,0,0,0,0
2295,1902,1902,2075,3632,1455,1377,1632,1193,3456,2010,2010,1736,1764,4277,560,939,950
251,294,294,140,71,165,212,195,0,163,166,166,0,0,170,0,0,0
0,167,167,102,0,0,0,0,136,186,0,0,144,0,0,0,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
231,125,125,322,281,0,398,0,0,116,300,300,326,298,314,0,401,0
0,0,0,757,0,0,0,441,0,0,0,0,0,0,0,0,0,0
0,0,0,72,285,233,0,0,0,174,0,0,0,61,393,10256,60,362
0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0
72,169,169,0,0,76,0,0,0,0,0,0,0,86,67,0,0,79
748,1546,1546,1098,1304,1323,1870,1579,1565,1096,973,973,1513,1445,1196,1430,1610,1346
738,756,756,522,1379,721,585,605,1027,893,653,653,600,427,494,197,272,332
17767,14504,14504,13927,7634,11633,11643,13374,12770,10914,6283,6283,16159,5032,12827,7833,10297,12463
561,173,173,0,325,504,518,0,69,0,0,0,401,0,35,363,0,0
1557,1477,1477,0,0,744,116,1283,1225,78,99,99,128,30,624,65,1467,0
0,154,154,0,0,521,0,0,597,0,0,0,169,0,0,0,408,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
568,571,571,381,558,396,537,2939,0,2958,1084,1084,2012,1476,2592,0,561,585
6206,3971,3971,4794,5425,2387,5257,5386,5023,4997,5844,5844,5478,2682,4997,5933,12566,4732
86,0,0,106,285,378,373,350,393,228,0,0,164,0,0,591,0,0
94,371,371,0,318,0,277,37,83,182,322,322,150,103,70,0,0,338
0,0,0,94,0,0,0,0,0,0,0,0,0,68,0,0,0,0
247,196,196,0,188,161,191,171,177,241,229,229,0,184,162,225,173,173
0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0
0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,51
399,609,609,0,667,486,1005,522,973,880,442,442,0,856,1238,963,271,1212
413,79,79,0,630,611,261,322,421,581,0,0,651,0,556,540,682,0
61,275,275,373,255,0,129,445,497,162,0,0,368,563,628,199,414,222
0,0,0,38,97,0,0,0,0,0,0,0,0,0,0,145,0,1724
3647,2564,2564,1653,3968,4000,2698,2702,2586,3708,3041,3041,3822,3746,4792,3369,3901,3078
728,748,748,743,424,517,612,684,719,395,523,523,811,719,657,553,610,964
0,0,0,0,64,0,0,0,45,0,0,0,0,0,0,0,0,0
0,128,128,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,152,139,164,0,0,65,0,0,0,101,0,0,0,136,182
1103,727,727,1584,1238,1350,800,828,921,608,755,755,1244,1116,0,1455,0,842
141,274,274,333,220,433,145,0,146,316,178,178,131,349,402,700,183,474
619,329,329,0,73,69,246,274,237,343,215,215,172,208,153,157,181,0
1952,0,0,0,1462,1124,0,1353,1523,0,1948,1948,0,0,0,0,620,1229
0,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,0,0,0
1766,3049,3049,2369,2306,1472,2066,1474,1522,1871,1915,1915,2143,3575,1466,718,1640,1525
0,0,0,0,0,132,0,0,0,0,227,227,160,0,0,0,0,0
192,330,330,5,133,0,0,197,0,0,205,205,235,58,416,0,172,187
0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,76,76,96,0,0,0,0,0,89,26,26,0,0,0,0,209,0
1290,1327,1327,842,1024,957,818,1130,1157,1119,1442,1442,1297,1144,1056,1069,1160,1261
582,46,46,0,160,109,154,293,43,263,241,241,86,75,179,97,0,39
213,464,464,240,357,234,122,354,209,113,169,169,186,255,154,52,234,156
0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
0,69,69,168,1102,1021,73,883,913,87,1001,1001,774,0,1364,90,63,1100
290,241,241,574,302,86,332,302,367,244,185,185,200,273,165,0,321,0
0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0
155,27,27,210,274,248,0,65,0,0,0,0,0,110,104,87,89,0
